field,count,percentmismatch
garagearea,0,0.00
yearbuilt,0,0.00
bldgfront,0,0.00
factryarea,0,0.00
builtfar,0,0.00
landuse,0,0.00
bsmtcode,0,0.00
overlay1,0,0.00
lottype,0,0.00
overlay2,0,0.00
easements,0,0.00
spdist3,0,0.00
yearalter1,0,0.00
landmark,0,0.00
officearea,0,0.00
proxcode,0,0.00
zonedist4,0,0.00
exemptland,0,0.00
zonedist1,0,0.00
spdist2,0,0.00
strgearea,0,0.00
areasource,0,0.00
ownertype,0,0.00
ownername,0,0.00
retailarea,0,0.00
commfar,0,0.00
splitzone,0,0.00
spdist1,0,0.00
bldgarea,0,0.00
resarea,0,0.00
assesstot,0,0.00
histdist,0,0.00
lotfront,0,0.00
unitstotal,0,0.00
lotdepth,0,0.00
residfar,0,0.00
yearalter2,0,0.00
comarea,0,0.00
ext,0,0.00
irrlotcode,0,0.00
facilfar,0,0.00
zonedist2,0,0.00
bldgclass,0,0.00
assessland,0,0.00
borocode,0,0.00
ltdheight,0,0.00
bldgdepth,0,0.00
zonedist3,0,0.00
otherarea,0,0.00
numbldgs,0,0.00
exempttot,0,0.00
numfloors,0,0.00
lotarea,0,0.00
condono,0,0.00
